Name,Date,End Date,Category,Status,Tags,URLs,Description,Location,All Day
いだてん岱明練習,2025-10-20,2025-10-20,予定,scheduled,"ランニング, いだてん岱明練習",,"欠席者 松岡
動きづくり
流し2本
中体連駅伝明け最初の練習。1名は連絡があり、欠席だったが、その他は全員参加。休み明けと、一体感を高めるために男女固まっての練習。小学生1名含め、全員が最後まで完走。3年が抜け、ジョグ中はかなり静かになっていた。あまりに静かだったので、自分が話を展開することもあった。寒くなってきたため、上着を持ってくるよう伝えた。ディズニーのお土産も配った。メリハリのハリを改善しつつも、岱明のこれまでの良さでもあるメリも大事にしてほしい。

ジョグ 10周 4.95km k/5:07
",,true
有休,2025-10-20,2025-10-20,予定,scheduled,,,,,true
走る研究室,2025-10-23T12:00:00,2025-10-23,予定,scheduled,,,,,false
岱明中合唱コンクール,2025-10-24,2025-10-24,予定,scheduled,,,,,true
いだてん岱明練習,2025-10-25,2025-10-25,予定,scheduled,"ランニング, いだてん岱明練習",,"欠席者 田上、角田、高田、松本
動きづくり
欠席者多めの中、動きづくりはいつもよりしっかりとやれていた印象だった。ダウンジョグも一体感持ってやってほしい。11〜1月は日の入りが早いため、6時間授業の場合は学校で速く短く、5時間やそれより早い場合はゆっくり長く、土日祝日で実施する日はスピード練習

ジョグ 6周 3.10km k/4:02
",,true
熊本県秋季陸上記録会,2025-10-25,2025-10-25,予定,scheduled,,,,,true
火の国ランフェスティバル,2025-10-26,2025-10-26,予定,scheduled,,,,,true
Dさんリモート,2025-10-27,2025-10-27,予定,scheduled,,,,,true
カフェイン断ち開始,2025-10-28,2025-10-28,予定,scheduled,,,,,true
中学3年県共通テスト,2025-10-28,2025-10-28,予定,scheduled,,,,,true
永井監督を祝う会MTGtg,2025-10-28T11:00:00,2025-10-28,予定,scheduled,,,,,false
いだてん岱明練習,2025-11-01,2025-11-01,予定,scheduled,"ランニング, いだてん岱明練習",,"欠席者 松岡、塚原、村上、高田、増岡
動きづくり
ゆっくりめだったため、リタイアが一人もおらず、全員完走。このペースで男子は8km、女子は7kmをまずいけたら。

ジョグ 12周 6.13km k/4:59
",,true
県高校駅伝,2025-11-01,2025-11-01,予定,scheduled,,,,,true
いだてん岱明練習,2025-11-03,2025-11-03,予定,scheduled,"ランニング, いだてん岱明練習",,"欠席者 村上、高田、松岡
動きづくり
キロ4で3kmが楽になれば、5km20分ではいけそう。まだインターバルの間をしっかりとしたジョグで繋げるようになるまでは時間がかかりそう。角田、塚原はスピードに課題。

ジョグ 6周 3.08km k/4:03
300m 1本目 300m k/3:23
300m 2本目 300m k/3:17
300m 3本目 300m k/3:13
300m 4本目 300m k/3:00
",,true
文化の日,2025-11-03,2025-11-03,祝日,,holiday,,日本の祝日,,true
遅めの400mインターバル,2025-11-06,2025-11-06,予定,done,自分の練習,,8本、83-43-83-44-83-43-83-43-83-43-82-44-83-46-83,,true
県中体連駅伝大会,2025-11-07,2025-11-07,予定,scheduled,,,,,true
いだてん岱明練習,2025-11-08,2025-11-08,予定,scheduled,"ランニング, いだてん岱明練習",,"欠席者 松岡、松本、山本
動きづくり
最初のアップは3周目から外を回るようになったため、ラップが落ちる。ショートカットしがちだったが、砂場の外を回って欲しい。600は全員設定より速いタイムでいけていた。特に松野は2セット目は51-52で回った。最後にみかんを配った。すぐになくなったので、もっと持ってきてもいいかも。

ジョグ 6周 3.17km k/5:02
600m×2（54秒/300m組） 600m×2 k/3:00
600m×2（57秒/300m組） 600m×2 k/3:10
600m×2（60秒/300m組） 600m×2 k/3:20
600m×2（63秒/300m組） 600m×2 k/3:30
",,true
コーヒー買わない開始日,2025-11-08,2025-11-08,予定,scheduled,,,,,true
遅めの400mインターバル,2025-11-09,2025-11-09,予定,done,自分の練習,,12本、83-41-83-41-83-41-82-41-83-42-83-42-83-42-82-42-82-42-82-42-82-44-81,,true
岱明中後期中間テスト,2025-11-11,2025-11-11,予定,scheduled,,,,,true
藤本さんリモート,2025-11-11,2025-11-11,予定,scheduled,,,,,true
遅めの400mインターバル,2025-11-11,2025-11-11,予定,done,自分の練習,,15本、84-44-84-43-83-42-84-42-83-43-83-44-83-43-82-43-82-45-81-44-83-42-82-44-82-43-82-43-80,,true
