year,rank,team,total,leg,name,grade,split,cumulative,source_drive_id
2021,3,荒尾海陽,43:42,4,前田紗希,3,7:44,32:07,1t4xKLNQph4mcdKzdXj3NqGxmKG-Y8PPo
2021,3,荒尾海陽,43:42,5,塚本実彩貴,2,11:35,43:42,1t4xKLNQph4mcdKzdXj3NqGxmKG-Y8PPo
2021,4,菊水,43:58,1,嶋田晴日,3,10:10,10:10,1t4xKLNQph4mcdKzdXj3NqGxmKG-Y8PPo
2021,4,菊水,43:58,2,坂本葉音,3,6:22,16:32,1t4xKLNQph4mcdKzdXj3NqGxmKG-Y8PPo
2021,4,菊水,43:58,3,越地優菜,2,7:35,24:07,1t4xKLNQph4mcdKzdXj3NqGxmKG-Y8PPo
2021,4,菊水,43:58,4,牧野菜々香,2,8:31,32:38,1t4xKLNQph4mcdKzdXj3NqGxmKG-Y8PPo
2021,4,菊水,43:58,5,近藤七海,2,11:20,43:58,1t4xKLNQph4mcdKzdXj3NqGxmKG-Y8PPo
2020,1,玉名,42:56,1,片山美璃愛,2,10:30,10:30,1pbX4GwUm7_TebtyZZlMo4U8BHu_OPWmP
2020,1,玉名,42:56,2,平井咲良,3,6:22,16:52,1pbX4GwUm7_TebtyZZlMo4U8BHu_OPWmP
2020,1,玉名,42:56,3,峠美咲希,3,7:04,23:56,1pbX4GwUm7_TebtyZZlMo4U8BHu_OPWmP
2020,1,玉名,42:56,4,徳永理子,2,7:31,31:27,1pbX4GwUm7_TebtyZZlMo4U8BHu_OPWmP
2020,1,玉名,42:56,5,藤戸花菜,3,11:29,42:56,1pbX4GwUm7_TebtyZZlMo4U8BHu_OPWmP
2020,2,荒尾三,43:49,1,藤田菜々美,3,10:43,10:43,1pbX4GwUm7_TebtyZZlMo4U8BHu_OPWmP
2020,2,荒尾三,43:49,2,吉里紗和,1,7:02,17:45,1pbX4GwUm7_TebtyZZlMo4U8BHu_OPWmP
2020,2,荒尾三,43:49,3,一木優咲,2,6:57,24:42,1pbX4GwUm7_TebtyZZlMo4U8BHu_OPWmP
2020,2,荒尾三,43:49,4,安田咲和,3,7:41,32:23,1pbX4GwUm7_TebtyZZlMo4U8BHu_OPWmP
2020,2,荒尾三,43:49,5,飯川紗良,2,11:26,43:49,1pbX4GwUm7_TebtyZZlMo4U8BHu_OPWmP
2020,3,長洲,44:21,1,西川侑里,1,9:58,9:58,1pbX4GwUm7_TebtyZZlMo4U8BHu_OPWmP
2020,3,長洲,44:21,2,横尾悠,2,6:47,16:45,1pbX4GwUm7_TebtyZZlMo4U8BHu_OPWmP
2020,3,長洲,44:21,3,高松春花,1,7:42,24:27,1pbX4GwUm7_TebtyZZlMo4U8BHu_OPWmP
2020,3,長洲,44:21,4,草野しずく,3,7:42,32:09,1pbX4GwUm7_TebtyZZlMo4U8BHu_OPWmP
2020,3,長洲,44:21,5,近藤楓,3,12:12,44:21,1pbX4GwUm7_TebtyZZlMo4U8BHu_OPWmP
2020,4,菊水,44:54,1,柴尾香澄,3,10:22,10:22,1pbX4GwUm7_TebtyZZlMo4U8BHu_OPWmP
2020,4,菊水,44:54,2,嶋田晴日,2,6:24,16:46,1pbX4GwUm7_TebtyZZlMo4U8BHu_OPWmP
2020,4,菊水,44:54,3,石原杏南,1,8:10,24:56,1pbX4GwUm7_TebtyZZlMo4U8BHu_OPWmP
2020,4,菊水,44:54,4,佐藤杏,1,7:52,32:48,1pbX4GwUm7_TebtyZZlMo4U8BHu_OPWmP
2020,4,菊水,44:54,5,坂本葉音,2,12:06,44:54,1pbX4GwUm7_TebtyZZlMo4U8BHu_OPWmP
2019,1,玉名,41:31,1,堀愛菜,3,10:05,10:05,1-m4jAOxnRixZLOkolym7idoBH7S6WBTN
2019,1,玉名,41:31,2,松本明城,3,6:15,16:20,1-m4jAOxnRixZLOkolym7idoBH7S6WBTN
2019,1,玉名,41:31,3,田上未来,3,6:44,23:04,1-m4jAOxnRixZLOkolym7idoBH7S6WBTN
2019,1,玉名,41:31,4,山田侑奈,2,7:18,30:22,1-m4jAOxnRixZLOkolym7idoBH7S6WBTN
2019,1,玉名,41:31,5,峠美咲希,2,11:09,41:31,1-m4jAOxnRixZLOkolym7idoBH7S6WBTN
2019,2,菊水,42:09,1,柴尾香澄,2,10:43,10:43,1-m4jAOxnRixZLOkolym7idoBH7S6WBTN
2019,2,菊水,42:09,2,嶋田晴日,1,6:34,17:17,1-m4jAOxnRixZLOkolym7idoBH7S6WBTN
2019,2,菊水,42:09,3,藤本喬子,3,7:05,24:22,1-m4jAOxnRixZLOkolym7idoBH7S6WBTN
2019,2,菊水,42:09,4,坂本葉音,1,7:24,31:46,1-m4jAOxnRixZLOkolym7idoBH7S6WBTN
2019,2,菊水,42:09,5,坂本華,3,10:23,42:09,1-m4jAOxnRixZLOkolym7idoBH7S6WBTN
2019,3,腹栄,43:59,1,植原華望,2,10:42,10:42,1-m4jAOxnRixZLOkolym7idoBH7S6WBTN
2019,3,腹栄,43:59,2,田川華妃,3,7:05,17:47,1-m4jAOxnRixZLOkolym7idoBH7S6WBTN
2019,3,腹栄,43:59,3,田上遥,3,7:03,24:50,1-m4jAOxnRixZLOkolym7idoBH7S6WBTN
2019,3,腹栄,43:59,4,荒木心音,2,7:21,32:11,1-m4jAOxnRixZLOkolym7idoBH7S6WBTN
2019,3,腹栄,43:59,5,古賀葵,3,11:48,43:59,1-m4jAOxnRixZLOkolym7idoBH7S6WBTN
2019,4,荒尾三,44:24,1,沖愛凛,3,11:15,11:15,1-m4jAOxnRixZLOkolym7idoBH7S6WBTN
2019,4,荒尾三,44:24,2,佐藤ちゆら,2,6:50,18:05,1-m4jAOxnRixZLOkolym7idoBH7S6WBTN
2019,4,荒尾三,44:24,3,一木優咲,1,7:07,25:12,1-m4jAOxnRixZLOkolym7idoBH7S6WBTN
2019,4,荒尾三,44:24,4,安田咲和,1,7:34,32:46,1-m4jAOxnRixZLOkolym7idoBH7S6WBTN
2019,4,荒尾三,44:24,5,藤田菜々美,2,11:38,44:24,1-m4jAOxnRixZLOkolym7idoBH7S6WBTN
2018,1,玉名,41:46,1,後藤凜,2,10:17,10:17,1SpSxcvlMeVJ_w9sV1D559ki112DVfvII
2018,1,玉名,41:46,2,松本明城,2,6:26,16:43,1SpSxcvlMeVJ_w9sV1D559ki112DVfvII
2018,1,玉名,41:46,3,濱本麻那,2,6:52,23:35,1SpSxcvlMeVJ_w9sV1D559ki112DVfvII
2018,1,玉名,41:46,4,本田結里,1,7:25,31:00,1SpSxcvlMeVJ_w9sV1D559ki112DVfvII
2018,1,玉名,41:46,5,坂上未来,2,10:46,41:46,1SpSxcvlMeVJ_w9sV1D559ki112DVfvII
2018,2,菊水,42:22,1,坂本華,2,10:25,10:25,1SpSxcvlMeVJ_w9sV1D559ki112DVfvII
2018,2,菊水,42:22,2,池田愛海,2,6:40,17:05,1SpSxcvlMeVJ_w9sV1D559ki112DVfvII
2018,2,菊水,42:22,3,柴尾香澄,1,7:02,24:07,1SpSxcvlMeVJ_w9sV1D559ki112DVfvII
2018,2,菊水,42:22,4,前瀬あかり,2,7:24,31:31,1SpSxcvlMeVJ_w9sV1D559ki112DVfvII
2018,2,菊水,42:22,5,藤本喬子,2,10:51,42:22,1SpSxcvlMeVJ_w9sV1D559ki112DVfvII
2018,3,腹栄,43:00,1,荒木心音,1,11:04,11:04,1SpSxcvlMeVJ_w9sV1D559ki112DVfvII
2018,3,腹栄,43:00,2,前田葵侑,2,6:42,17:46,1SpSxcvlMeVJ_w9sV1D559ki112DVfvII
2018,3,腹栄,43:00,3,田上遥,2,7:01,24:47,1SpSxcvlMeVJ_w9sV1D559ki112DVfvII
2018,3,腹栄,43:00,4,植原華望,1,7:07,31:54,1SpSxcvlMeVJ_w9sV1D559ki112DVfvII
2018,3,腹栄,43:00,5,古賀葵,2,11:06,43:00,1SpSxcvlMeVJ_w9sV1D559ki112DVfvII
2018,4,荒尾四,43:31,1,前田琳香,2,10:12,10:12,1SpSxcvlMeVJ_w9sV1D559ki112DVfvII
2018,4,荒尾四,43:31,2,大江莉奈,3,7:18,17:30,1SpSxcvlMeVJ_w9sV1D559ki112DVfvII
2018,4,荒尾四,43:31,3,藤本佑菜,3,7:22,24:52,1SpSxcvlMeVJ_w9sV1D559ki112DVfvII
2018,4,荒尾四,43:31,4,前田紗歩,3,7:56,32:48,1SpSxcvlMeVJ_w9sV1D559ki112DVfvII
2018,4,荒尾四,43:31,5,小嶋弥渚,3,10:43,43:31,1SpSxcvlMeVJ_w9sV1D559ki112DVfvII
2017,1,玉名,41:21,1,清田真帆,3,10:15,10:15,1txCmMkoQMiayxCCaH9iUm5LyDcM-zZ5u
2017,1,玉名,41:21,2,萩尾花月,3,6:15,16:30,1txCmMkoQMiayxCCaH9iUm5LyDcM-zZ5u
2017,1,玉名,41:21,3,松本明城,1,6:58,23:28,1txCmMkoQMiayxCCaH9iUm5LyDcM-zZ5u
2017,1,玉名,41:21,4,堀愛菜,1,7:07,30:35,1txCmMkoQMiayxCCaH9iUm5LyDcM-zZ5u
2017,1,玉名,41:21,5,中尾比菜,3,10:46,41:21,1txCmMkoQMiayxCCaH9iUm5LyDcM-zZ5u
2017,2,荒尾三,42:02,1,大中千尋,3,10:09,10:09,1txCmMkoQMiayxCCaH9iUm5LyDcM-zZ5u
2017,2,荒尾三,42:02,2,沖愛凛,1,6:25,16:34,1txCmMkoQMiayxCCaH9iUm5LyDcM-zZ5u
2017,2,荒尾三,42:02,3,堀秋璃,3,7:04,23:38,1txCmMkoQMiayxCCaH9iUm5LyDcM-zZ5u
2017,2,荒尾三,42:02,4,荒川夏凛,3,7:24,31:02,1txCmMkoQMiayxCCaH9iUm5LyDcM-zZ5u
2017,2,荒尾三,42:02,5,浦浜実里,3,11:00,42:02,1txCmMkoQMiayxCCaH9iUm5LyDcM-zZ5u
2017,3,菊水,43:08,1,坂井陽香,3,11:00,11:00,1txCmMkoQMiayxCCaH9iUm5LyDcM-zZ5u
2017,3,菊水,43:08,2,坂本華,1,6:29,17:29,1txCmMkoQMiayxCCaH9iUm5LyDcM-zZ5u
2017,3,菊水,43:08,3,藤本喬子,1,7:05,24:34,1txCmMkoQMiayxCCaH9iUm5LyDcM-zZ5u
2017,3,菊水,43:08,4,坂本あずみ,3,7:27,32:01,1txCmMkoQMiayxCCaH9iUm5LyDcM-zZ5u
2017,3,菊水,43:08,5,柴尾知美,2,11:07,43:08,1txCmMkoQMiayxCCaH9iUm5LyDcM-zZ5u
2017,4,岱明,43:29,1,前田優花,1,10:57,10:57,1txCmMkoQMiayxCCaH9iUm5LyDcM-zZ5u
2017,4,岱明,43:29,2,辻湖羽来,3,6:41,17:38,1txCmMkoQMiayxCCaH9iUm5LyDcM-zZ5u
2017,4,岱明,43:29,3,榎本妃恵,3,7:15,24:53,1txCmMkoQMiayxCCaH9iUm5LyDcM-zZ5u
2017,4,岱明,43:29,4,土山静里佳,2,7:27,32:20,1txCmMkoQMiayxCCaH9iUm5LyDcM-zZ5u
2017,4,岱明,43:29,5,三村奈々,3,11:09,43:29,1txCmMkoQMiayxCCaH9iUm5LyDcM-zZ5u
2016,1,荒尾三,40:59,1,大中千尋,2,10:10,10:10,1LhUyOckCQI2Ne3OEOIbQmMq4tZf5KzeR
2016,1,荒尾三,40:59,2,堀秋璃,2,6:33,16:43,1LhUyOckCQI2Ne3OEOIbQmMq4tZf5KzeR
2016,1,荒尾三,40:59,3,荒川夏凛,2,6:55,23:38,1LhUyOckCQI2Ne3OEOIbQmMq4tZf5KzeR
2016,1,荒尾三,40:59,4,浦浜実里,2,6:42,30:20,1LhUyOckCQI2Ne3OEOIbQmMq4tZf5KzeR
2016,1,荒尾三,40:59,5,牧野颯姫,3,10:39,40:59,1LhUyOckCQI2Ne3OEOIbQmMq4tZf5KzeR
2016,2,玉名,41:10,1,濱崎菜,3,10:22,10:22,1LhUyOckCQI2Ne3OEOIbQmMq4tZf5KzeR
2016,2,玉名,41:10,2,宮本花穂,3,6:31,16:53,1LhUyOckCQI2Ne3OEOIbQmMq4tZf5KzeR
2016,2,玉名,41:10,3,中尾比菜,2,6:46,23:39,1LhUyOckCQI2Ne3OEOIbQmMq4tZf5KzeR
2016,2,玉名,41:10,4,清田真帆,2,6:48,30:27,1LhUyOckCQI2Ne3OEOIbQmMq4tZf5KzeR
2016,2,玉名,41:10,5,早野真菜,3,10:43,41:10,1LhUyOckCQI2Ne3OEOIbQmMq4tZf5KzeR
2016,3,南関,41:43,1,津留萌花,3,10:35,10:35,1LhUyOckCQI2Ne3OEOIbQmMq4tZf5KzeR
2016,3,南関,41:43,2,門田咲耶,1,6:31,17:06,1LhUyOckCQI2Ne3OEOIbQmMq4tZf5KzeR
2016,3,南関,41:43,3,島崎乃々佳,1,6:55,24:01,1LhUyOckCQI2Ne3OEOIbQmMq4tZf5KzeR
2016,3,南関,41:43,4,高椋琳菜,3,7:08,31:09,1LhUyOckCQI2Ne3OEOIbQmMq4tZf5KzeR
2016,3,南関,41:43,5,原賀藍実,3,10:34,41:43,1LhUyOckCQI2Ne3OEOIbQmMq4tZf5KzeR
2016,4,岱明,43:02,1,田上真愛,3,10:29,10:29,1LhUyOckCQI2Ne3OEOIbQmMq4tZf5KzeR
2016,4,岱明,43:02,2,土山静里佳,3,6:35,17:04,1LhUyOckCQI2Ne3OEOIbQmMq4tZf5KzeR
2016,4,岱明,43:02,3,東華菜,3,7:04,24:08,1LhUyOckCQI2Ne3OEOIbQmMq4tZf5KzeR
2016,4,岱明,43:02,4,辻湖羽来,2,7:15,31:23,1LhUyOckCQI2Ne3OEOIbQmMq4tZf5KzeR
2016,4,岱明,43:02,5,三村奈々,2,11:39,43:02,1LhUyOckCQI2Ne3OEOIbQmMq4tZf5KzeR
2015,1,玉名,41:31,1,関知夏子,3,10:14,10:14,17gakFQA2vfltUyFgLkmy0FrWC8NnKdYv
2015,1,玉名,41:31,2,田上綾乃,3,6:26,16:40,17gakFQA2vfltUyFgLkmy0FrWC8NnKdYv
2015,1,玉名,41:31,3,笠井菜央,3,6:54,23:34,17gakFQA2vfltUyFgLkmy0FrWC8NnKdYv
2015,1,玉名,41:31,4,清田真帆,1,7:06,30:40,17gakFQA2vfltUyFgLkmy0FrWC8NnKdYv
2015,1,玉名,41:31,5,塩山桃花,2,10:51,41:31,17gakFQA2vfltUyFgLkmy0FrWC8NnKdYv
2015,2,荒尾三,42:39,1,大中千尋,1,10:23,10:23,17gakFQA2vfltUyFgLkmy0FrWC8NnKdYv
2015,2,荒尾三,42:39,2,荒川夏凛,1,6:45,17:08,17gakFQA2vfltUyFgLkmy0FrWC8NnKdYv
2015,2,荒尾三,42:39,3,藤本実百,2,6:59,24:07,17gakFQA2vfltUyFgLkmy0FrWC8NnKdYv
2015,2,荒尾三,42:39,4,石橋美優,1,7:20,31:27,17gakFQA2vfltUyFgLkmy0FrWC8NnKdYv
2015,2,荒尾三,42:39,5,牧野颯姫,2,11:12,42:39,17gakFQA2vfltUyFgLkmy0FrWC8NnKdYv
2015,3,南関,43:17,1,原賀藍実,2,11:00,11:00,17gakFQA2vfltUyFgLkmy0FrWC8NnKdYv
2015,3,南関,43:17,2,高椋琳菜,2,6:59,17:59,17gakFQA2vfltUyFgLkmy0FrWC8NnKdYv
2015,3,南関,43:17,3,津留萌花,2,6:45,24:44,17gakFQA2vfltUyFgLkmy0FrWC8NnKdYv
2015,3,南関,43:17,4,川上悠花,3,7:33,32:17,17gakFQA2vfltUyFgLkmy0FrWC8NnKdYv
2015,3,南関,43:17,5,島崎乃々佳,2,11:00,43:17,17gakFQA2vfltUyFgLkmy0FrWC8NnKdYv
2015,4,岱明,43:36,1,東華菜,2,10:41,10:41,17gakFQA2vfltUyFgLkmy0FrWC8NnKdYv
